#source_current_uA,range_idx,measured_uA,adc_value
-9900.990099010,0,-9804.147600781,514029
-9702.970297030,0,-9609.528082129,503819
-9504.950495050,0,-9415.500613770,493648
-9306.930693069,0,-9220.833005176,483423
-9108.910891089,0,-9026.971120605,473274
-8910.891089109,0,-8832.266514746,463058
-8712.871287129,0,-8637.651881641,452867
-8514.851485149,0,-8443.699148633,442702
-8316.831683168,0,-8249.088013477,432497
-8118.811881188,0,-8054.983933398,422329
-7920.792079208,0,-7860.233520605,412104
-7722.772277228,0,-7666.318498779,401940
-7524.752475248,0,-7471.547219873,391719
-7326.732673267,0,-7276.683128516,381509
-7128.712871287,0,-7082.652457959,371339
-6930.693069307,0,-6887.891433203,361110
-6732.673267327,0,-6693.867865771,350930
-6534.653465347,0,-6499.054847949,340735
-6336.633663366,0,-6304.987075488,330572
-6138.613861386,0,-6110.239024316,320356
-5940.594059406,0,-5915.449756201,310146
-5742.574257426,0,-5721.416816064,299962
-5544.554455446,0,-5526.636609229,289751
-5346.534653465,0,-5332.601147998,279589
-5148.514851485,0,-5137.749323096,269370
-4950.495049505,0,-4942.299299658,259120
-4752.475247525,0,-4748.193396240,248943
-4554.455445545,0,-4553.414937744,238731
-4356.435643564,0,-4358.465463428,228513
-4158.415841584,0,-4164.410695508,218337
-3960.396039604,0,-3969.615756885,208129
-3762.376237624,0,-3775.529729395,197946
-3564.356435644,0,-3580.619390283,187732
-3366.336633663,0,-3385.813742310,177513
-3168.316831683,0,-3191.732451440,167359
-2970.297029703,0,-2996.930548608,157125
-2772.277227723,0,-2802.870998340,146955
-2574.257425743,0,-2608.084762207,136737
-2376.237623762,0,-2414.049106494,126569
-2178.217821782,0,-2219.200116699,116354
-1980.198019802,0,-2024.452213782,106137
-1782.178217822,0,-1830.379230139,95968
-1584.158415842,0,-1635.574325928,85749
-1386.138613861,0,-1441.287780701,75574
-1188.118811881,0,-1246.534297583,65353
-990.099009901,0,-1052.454141541,55177
-792.079207921,0,-857.680351434,44967
-594.059405941,0,-662.719423260,34753
-396.039603960,0,-468.762445450,24569
-198.019801980,0,-273.998313904,14367
0.000000000,0,-79.928647995,4191
198.019801980,0,114.821669323,-6006
396.039603960,0,309.556905746,-16229
594.059405941,0,503.602231979,-26402
792.079207921,0,698.407569537,-36615
990.099009901,0,892.405059875,-46798
1188.118811881,0,1087.149099170,-56999
1386.138613861,0,1281.895172107,-67210
1584.158415842,0,1476.071389563,-77379
1782.178217822,0,1670.805108923,-87596
1980.198019802,0,1865.524358948,-97809
2178.217821782,0,2059.504071729,-107980
2376.237623762,0,2254.326674170,-118187
2574.257425743,0,2448.438787769,-128376
2772.277227723,0,2643.097896240,-138574
2970.297029703,0,2837.776511499,-148783
3168.316831683,0,3031.749122559,-158954
3366.336633663,0,3226.339752344,-169150
3564.356435644,0,3420.259282153,-179322
3762.376237624,0,3614.978731714,-189524
3960.396039604,0,3809.599400879,-199727
4158.415841584,0,4003.482796582,-209896
4356.435643564,0,4197.978710254,-220096
4554.455445545,0,4392.706693994,-230305
4752.475247525,0,4586.664328027,-240465
4950.495049505,0,4781.103324170,-250670
5148.514851485,0,4976.387985840,-260911
5346.534653465,0,5170.367089014,-271080
5544.554455446,0,5364.945097070,-281279
5742.574257426,0,5559.404106006,-291474
5940.594059406,0,5753.130251270,-301614
6138.613861386,0,5947.645813086,-311828
6336.633663366,0,6142.140613037,-322040
6534.653465347,0,6335.869241504,-332167
6732.673267327,0,6530.377955859,-342378
6930.693069307,0,6724.099031299,-352528
7128.712871287,0,6918.546062695,-362730
7326.732673267,0,7113.094445166,-372931
7524.752475248,0,7306.890822656,-383085
7722.772277228,0,7501.265379053,-393279
7920.792079208,0,7695.491412012,-403452
8118.811881188,0,7889.029351611,-413605
8316.831683168,0,8083.221917285,-423770
8514.851485149,0,8276.673553418,-433943
8712.871287129,0,8470.935804004,-444123
8910.891089109,0,8664.879818262,-454290
9108.910891089,0,8858.417859180,-464458
9306.930693069,0,9052.131319238,-474582
9504.950495050,0,9245.404018555,-484731
9702.970297030,0,9439.357074902,-494906
9900.990099010,0,9619.365850586,-504305
